Column1/Column 2 Edits					
Column 1	Column 2	* = In existence prior to 1996	Effective Date	"Deletion Date
*=no data"	"Modifier
0=not allowed
1=allowed
9=not applicable"
00102	80091		19960101	19960101	9
00102	80092		19960101	19960101	9
00102	80150		19960101	19960101	9
00102	80152		19960101	19960101	9
00102	80154		19960101	19960101	9
00102	80156		19960101	19960101	9
00102	80158		19960101	19960101	9
00102	80160		19960101	19960101	9
00102	80162		19960101	19960101	9
00102	80164		19960101	19960101	9
00102	80166		19960101	19960101	9
00102	80168		19960101	19960101	9
00102	80170		19960101	19960101	9
00102	80172		19960101	19960101	9
00102	80174		19960101	19960101	9
00102	80176		19960101	19960101	9
00102	80178		19960101	19960101	9
00102	80182		19960101	19960101	9
00102	80184		19960101	19960101	9
00102	80185		19960101	19960101	9
00102	80186		19960101	19960101	9
00102	80188		19960101	19960101	9
00102	80190		19960101	19960101	9
00102	80192		19960101	19960101	9
00102	80194		19960101	19960101	9
00102	80196		19960101	19960101	9
00102	80198		19960101	19960101	9
00102	80200		19960101	19960101	9
00102	80202		19960101	19960101	9
00102	81000		19960101	*	1
00102	81002		19960101	*	1
00102	81003		19960101	*	1
00102	81005		19960101	*	1
00102	81007		19960101	19960101	9
00102	81015		19960101	*	1
00102	81025		19960101	19960101	9
00102	81050		19960101	19960101	9
00102	82000		19960101	19960101	9
00102	82003		19960101	19960101	9
00102	82009		19960101	19960101	9
00102	82010		19960101	19960101	9
00102	82013		19960101	*	1
00102	82024		19960101	19960101	9
00102	82030		19960101	19960101	9
00102	82040		19960101	19960101	9
00102	82042		19960101	19960101	9
00102	82043		19960101	19960101	9
00102	82044		19960101	19960101	9
00102	82055		19960101	19960101	9
00102	82075		19960101	19960101	9
00102	82085		19960101	19960101	9
00102	82088		19960101	19960101	9
00102	82101		19960101	19960101	9
00102	82103		19960101	19960101	9
00102	82104		19960101	19960101	9
00102	82105		19960101	19960101	9
00102	82106		19960101	19960101	9
00102	82108		19960101	19960101	9
00102	82128		19960101	19960101	9
00102	82130		19960101	19990331	1
00102	82131		19960101	19960101	9
00102	82135		19960101	19960101	9
00102	82140		19960101	19960101	9
00102	82143		19960101	19960101	9
00102	82145		19960101	19960101	9
00102	82150		19960101	19960101	9
00102	82154		19960101	19960101	9
00102	82157		19960101	19960101	9
00102	82160		19960101	19960101	9
00102	82163		19960101	19960101	9
00102	82164		19960101	19960101	9
00102	82172		19960101	19960101	9
00102	82175		19960101	19960101	9
00102	82180		19960101	19960101	9
00102	82190		19960101	19960101	9
00102	82205		19960101	*	1
00102	82232		19960101	19960101	9
00102	82239		19960101	19960101	9
00102	82240		19960101	19960101	9
00102	82250		19960101	19990331	1
00102	82251		19960101	19960101	9
00102	82252		19960101	19960101	9
00102	82270		19960101	20070401	1
00102	82273		19960101	20051231	1
00102	90760		20060101	20081231	0
00102	90765		20060101	20081231	0
00102	90772		20060101	20081231	0
00102	90773		20060101	20081231	0
00102	90774		20060101	20081231	0
00102	90775		20060101	20081231	0
00102	90780		19960101	20041231	1
00102	90781		19960101	20041231	1
00102	90782		19960101	20041231	0
00102	90783		19960101	20051231	0
00102	90784		19960101	20041231	0
00102	90788		19960101	20051231	0
00102	90835		19960101	19980331	1
00102	90865		19980401	*	1
00102	91000		19960101	20101231	1
00102	91055		19960101	20101231	1
00102	91105		19960101	20101231	1
00102	92511		19960101	*	1
00102	92512		19960101	*	1
00102	92516		19960101	*	1
00102	92520		19960101	*	1
00102	92531		19960101	19960101	9
00102	92533		19960101	19960101	9
00102	92543		19960101	*	1
00102	92950		19960101	*	1
00102	92953		19960101	*	1
00102	92960		19960101	*	1
00102	92961		20010701	*	1
00102	93000		19960101	*	1
00102	93005		19960101	*	1
00102	93010		19960101	*	1
00102	93015		19960101	20090701	1
00102	93016		19960101	20090701	1
00102	93017		19960101	20090701	1
00102	93018		19960101	20090701	1
00102	93040		19960101	*	1
00102	93041		19960101	*	1
00102	93042		19960101	*	1
00102	93303		19980101	*	0
00102	93304		19980101	*	0
00102	93306		20090101	*	1
00102	93307		19960101	*	1
00102	93308		19960101	*	1
00102	93312		19960101	*	1
00102	93313		19960101	*	1
00102	93314		19960101	*	1
00102	93315		20020701	*	1
00102	93316		20020701	*	1
00102	93317		20020701	*	1
00102	93318		20020701	*	0
00102	93320		19960101	19970101	1
00102	93321		19960101	19970101	1
00102	93325		19960101	19970101	1
00102	93351		20090101	*	1
00102	93451		20110101	*	1
00102	93456		20110101	*	1
00102	93457		20110101	*	1
00102	93501		19960101	20101231	1
00102	93561		20080401	*	0
00102	93562		20080401	*	0
00102	93701		20020101	*	0
00102	93922		19960101	*	1
00102	93923		19960101	*	1
00102	93924		19960101	*	1
00102	93925		19960101	*	1
00102	93926		19960101	*	1
00102	93930		19960101	*	1
00102	93931		19960101	*	1
00102	93965		19960101	*	1
00102	93970		19960101	*	1
00102	93971		19960101	*	1
00102	93975		19960101	*	1
00102	93976		19960101	*	1
00102	93978		19960101	*	1
00102	93979		19960101	*	1
00102	93980		19960101	*	1
00102	93981		19960101	*	1
00102	94002		20070101	*	1
00102	94004		20070101	*	1
00102	94160		19960101	19970331	1
00102	94200		20000905	*	1
00102	94250		20011001	*	0
00102	94640		19960101	*	1
00102	94644		20080401	*	1
00102	94650		19960101	20030331	1
00102	94651		19960101	20030331	1
00102	94656		19960101	20061231	1
00102	94660		19960101	*	1
00102	94662		19960101	*	1
00102	94680		19960101	*	1
00102	94681		19960101	*	1
00102	94690		19960101	*	1
00102	94760		19960101	*	0
00102	94761		19960101	*	0
00102	94762		19960101	*	1
00102	94770		19960101	*	1
00102	95812		20030101	*	0
00102	95813		20030101	*	0
00102	95816		20030101	*	0
00102	95819		20030101	*	0
00102	95822		20030101	*	0
00102	95829		20030101	*	0
00102	95955		20000905	*	0
00102	95956		20020401	*	0
00102	95957		20020401	*	0
00102	96360		20090101	*	0
00102	96365		20090101	*	0
00102	96372		20090101	*	0
00102	96373		20090101	*	0
00102	96374		20090101	*	0
00102	96375		20090101	*	0
00102	96376		20090701	*	0
00102	99143		20060401	*	0
00102	99144		20060401	*	0
00102	99145		20091001	*	0
00102	99148		20060101	*	0
00102	99149		20060101	*	0
00102	99150		20091001	*	0
00102	99201		19960101	*	0
00102	99202		19960101	*	0
00102	99203		19960101	*	0
00102	99204		19960101	*	0
00102	99205		19960101	*	0
00102	99211		19960101	*	0
00102	99212		19960101	*	0
00102	99213		19960101	*	0
00102	99214		19960101	*	0
00102	99215		19960101	*	0
00102	99217		19960101	*	0
00102	99218		19960101	*	0
00102	99219		19960101	*	0
00102	99220		19960101	*	0
00102	99221		19960101	*	0
00102	99222		19960101	*	0
00102	99223		19960101	*	0
00102	99224		20110101	*	0
00102	99225		20110101	*	0
00102	99226		20110101	*	0
00102	99231		19960101	*	0
00102	99232		19960101	*	0
00102	99233		19960101	*	0
00102	99234		20090701	*	0
00102	99235		20090701	*	0
00102	99236		20090701	*	0
00102	99238		19960101	*	0
00102	99239		20090701	*	0
00102	99241		19960101	20091231	0
00102	99242		19960101	20091231	0
00102	99243		19960101	20091231	0
00102	99244		19960101	20091231	0
00102	99245		19960101	20091231	0
00102	99251		19960101	20091231	0
00102	99252		19960101	20091231	0
00102	99253		19960101	20091231	0
00102	99254		19960101	20091231	0
00102	99255		19960101	20091231	0
00102	99261		19960101	20051231	0
00102	99262		19960101	20051231	0
00102	99263		19960101	20051231	0
00102	99271		19960101	20051231	0
00102	99272		19960101	20051231	0
00102	99273		19960101	20051231	0
00102	99274		19960101	20051231	0
00102	99275		19960101	20051231	0
00102	99281		19960101	*	0
00102	99282		19960101	*	0
00102	99283		19960101	*	0
00102	99284		19960101	*	0
00102	99285		19960101	*	0
00102	99288		19960101	19960101	9
00102	99293		20030101	20081231	0
00102	99294		20030101	20081231	0
00102	99295		19960101	20081231	0
00102	99296		19960101	20081231	0
00102	99297		19960101	20030331	0
00102	99298		20030101	20081231	0
00102	99299		20030101	20081231	0
00102	99300		20060101	20081231	0
00102	99301		19960101	20051231	0
00102	99302		19960101	20051231	0
00102	99303		19960101	20051231	0
00102	99304		20060101	*	0
00102	99305		20060101	*	0
00102	99306		20060101	*	0
00102	99307		20060101	*	0
00102	99308		20060101	*	0
00102	99309		20060101	*	0
00102	99310		20060101	*	0
00102	99311		19960101	20051231	0
00102	99312		19960101	20051231	0
00102	99313		19960101	20051231	0
00102	99315		20090701	*	0
00102	99318		20060101	*	0
00102	99321		19960101	20051231	0
00102	99322		19960101	20051231	0
00102	99323		19960101	20051231	0
00102	99324		20060101	*	0
00102	99325		20060101	*	0
00102	99326		20060101	*	0
